( 202,   1) = 983d82bfa3be017f87ffffc787040707
( 232,   1) = 9e7d06bf27fe417fe7ff47b7ff070707
( 242,   1) = 947de6bf47bea37fcfcf5fffff040707
( 247,   1) = 9c5d5e9fa5be015f43635b5363030303
( 251,   1) = bd9f88cfa6fe017f01e3fb01a1000101
( 198,   2) = 30bff3bf713f643f3f3f2fffbf060707
( 224,   2) = 12ff39ff093f39ff8f8f879f8f070707
( 226,   3) = d59f813fc03fcc3fff8189c38307a783
( 256,   3) = 14078c679d6fee6fbf9810fc003d8008
( 274,   3) = 75d30500788956836060f850406070e0
( 297,   3) = 6d82ffb1f4a06e102c0400febeaebe3e
( 261,   4) = 0423e7a3474aee1fff0400df1cd9df5d
( 303,   4) = f9941500288c1e005b82f7baeabe90ea
( 243,   5) = bd90b97f3e7a3ffe2120a1b7f3f3f7f7
( 248,   5) = ffc55d5f5c5b7c1e4100004104004465
( 268,   5) = 824cd284c380c204d2f3fff7ffd3d9db
( 232,   6) = 8102f787d005ee07be8498ff88df9898
( 287,   6) = ffd5674034086cc0ff64404040f7f640
( 155,   7) = adfaa724b4202e00ff3e26f4b4e400f6
( 246,   7) = 388009087d881c8000a9290028afbbab
( 275,   7) = f3cf7fc72013710060fd67eff979e161
( 327,   7) = f182f1bfb000fda0e0eefeffefefffef
( 335,   7) = bf387e38fefefbb024e6febcfeffffff
( 131,   8) = 6106d9fa0000508a4068f818f97dfdfd
( 224,   8) = 9ff53c583ebf3df00000082435302735
( 254,   8) = fff61cceacee04007504002100f5a100
( 268,   8) = f082e23fdb1fca1effddffdfdfdddfdf
( 340,   8) = fe207c784b58fff8270707ffffffffff
( 135,   9) = e086a5a2e104000068f8f8bec08018fe
( 282,   9) = ad38dc02feffdf82e0e0f2f0f4fbffff
( 247,  10) = 38e80880bda519800062fb00eb800000
( 286,  10) = f086fc48ed42fde6a8e8e8e8e8ebf8eb
( 295,  10) = ff932480bef719a0000000e0ffff20e2
( 225,  11) = 7cc70500bdac1c804000000004ce00df
( 261,  11) = cf538c51c891eed1df0090c2e7fb1000
( 238,  12) = 8000f77e4312ef7efffffffffbdfffdf
( 250,  12) = 78c700017cdb1d8100202860006b0000
( 178,  13) = ffeff781a4a51c00dc1000d6dcd450c0
( 269,  13) = 8220f324c310fbb0ffffdfdfdfdedfde
( 315,  13) = ff80fd20fc28fe8000e0c0f8f8f8ffff
( 318,  13) = fda0fc00fe801da0e0c0f0f4fefcfef4
( 138,  14) = a55c5307708e02077f7f6f1313430003
( 176,  15) = f4df597e400480d7a0a010010000e6ef
( 226,  15) = 6fc70000bcf715f50060000000000000
( 239,  15) = 0000f73c4318f3b8bbfffbffffffffff
( 384,  17) = 8e7fa4df8fff817f9f93130303000000
( 228,  18) = fdfbe2c73ad36847f0f570e0e0f04040
( 236,  18) = 18302f715b70efba9e1e1ede1e9e9e9e
( 231,  19) = 7e69f243bff77f2200747476737f7900
( 233,  20) = 2ca83e69bff51da11c1c242efe7e7c34
( 239,  20) = 8a685f3e8d34ef3fbf9e869f9c9e9e9f
( 218,  21) = afd78806eeff05df7711001100001280
( 225,  21) = 4187f947c847bfc70eefffdfcb091888
( 275,  22) = f810fe7ef378ff7ca0efffffffffffff
( 251,  23) = c082f7ff710b792128ebfbffffebe4eb
( 268,  23) = ffc2f7e2fef3fe60a0e4f0fee0e4fce4
( 199,  24) = 0120e7bf7818e33efffffffeff7efefe
( 203,  24) = 030873bf00323f20dfffefefff7fefff
( 224,  24) = 0269f7cfc3414b4f7bfb1afefafafe5e
( 261,  24) = fd834c80fcd7d180e0e0f0f0e0f2f0e0
( 248,  25) = eb20ff7e3208ef1ea4fcfefffefeffff
( 210,  26) = efdf00c06c9e80dc013b810003008783
( 243,  26) = 4000fe64fbf9ffe5dafefefefefffca8
( 245,  26) = d000ea784b33fff520fefffefffffffe
( 384,  27) = fdff1000bef71cf10000000000a60000
(1127,  28) = 0006da7f4357efffff5f5f07165f1600
( 231,  31) = e780ffd5c000f25056dfdeffd7d7ddd6
( 410,  31) = 0002f287c3f7c37fffffffefcede181c
( 400,  32) = 9e7c003ca5b4841ca3a323a38703a7a7
(  20,  33) = fd15e38e3088e80ae0e2eef4e4c0f4e4
( 228,  34) = 9e38d77fc320ef2ef6f7dfffffffe6ff
( 386,  34) = 00cf8087cbdf11e58e9f5f464b0f0000
( 388,  34) = 80ff004149b787f7de9f8e00c3800000
(1116,  35) = 008e148f110e11f501fb090b0b030100
(  25,  36) = f7d73580b404100080e424a8fcfca27c
( 349,  36) = 3000fef77b73ff7f207fffff677f7efe
( 377,  36) = 0c5d085e1dff15ff0b0b0301010b0101
( 383,  36) = 8f7defdf84ec065fdf0400dd00000000
(1085,  36) = 5aff12ff4357017f1597050f00000700
(  29,  37) = ffd300803ca918817000400000d01000
( 241,  38) = fdb8ff20ba3a3fb05f1818ffff3fffff
(1088,  38) = bf7f026ff6ef6e7fff179785b1050115
( 212,  39) = 8100e960c800e607f8b8fff8fbfcf8ff
( 192,  40) = 85706b3a1e2cee0affff5cd71e14d6df
( 402,  40) = 010013211a171bb25f1eff3fff19ff5d
( 435,  40) = 0001ffbf4b13fbbe00ebffffffffffff
( 377,  41) = fff720d336f300d32077252020e00020
( 416,  41) = c7ff82b982fe80bcc7c7d78181010183
( 206,  42) = 363cfe04c300c60f3777fff7f7b206f7
( 429,  42) = f1a2fb7f700bfa2b84fffffffdfcfefc
(  32,  43) = 7fc7004650c22ec77d60080000a40000
( 328,  43) = 024d4646c753e7ffdf9f929b0b808f0b
( 358,  43) = 1cff10701fff1df50202020202060202
